title_and_code,,
Architecture  (1) ,,
Bioengineering  (3) ,,
Chemical and Biomolecular Engineering  (4) ,,
Civil and Environmental Engineering  (5) ,,
Computational and Applied Mathematics  (6) ,,
Computer Science  (7) ,,
Electrical and Computer Engineering  (8) ,,
Materials Science and NanoEngineering  (9) ,,
Mechanical Engineering  (10) ,,
Statistics  (11) ,,
Astronomy  (37) ,,
Astrophysics  (38) ,,
Biochemistry and Cell Biology  (39) ,,
Chemical Physics  (40) ,,
Chemistry  (15) ,,
Earth Science  (16) ,,
Ecology and Evolutionary Biology  (41) ,,
Environmental Science  (42) ,,
Kinesiology  (43) ,,
Mathematics  (44) ,,
Neuroscience  (45) ,,
Physics  (46) ,,
Cognitive Sciences  (48) ,,
Mathematical Economic Analysis  (52) ,,
Psychological Sciences  (54) ,,